StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month,StateName_clean,DistrictName_clean,BlockName_clean,Sector_clean,Category_clean,Crop_clean,QueryType_clean,QueryText_clean,KccAns_clean,CreatedOn_clean,combined_clean_text,language,structure,chunks
MAHARASHTRA,BEED,GEORAI,,HORTICULTURE,Condiments and Spices,Coriander,Seeds and Planting Material,Asking about sowing of coriander ?,धने पिकाचे लागवड करताना रगडून त्याचे लागवड करावी धन्यवाद,2025-05-21T17:00:49.15,2025,5,MAHARASHTRA,BEED,GEORAI,HORTICULTURE,Condiments and Spices,Coriander,Seeds and Planting Material,Asking about sowing of coriander ?,धने पिकाचे लागवड करताना रगडून त्याचे लागवड करावी धन्यवाद,2025-05-21T17:00:49.15,MAHARASHTRA BEED GEORAI HORTICULTURE Condiments and Spices Coriander Seeds and Planting Material Asking about sowing of coriander ? धने पिकाचे लागवड करताना रगडून त्याचे लागवड करावी धन्यवाद 2025-05-21T17:00:49.15,en,Doc,['MAHARASHTRA']
MAHARASHTRA,LATUR,RENAPUR,,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CROP INSURANCE CLAIME?,"SBI GENERAL INSURANCE-.	14447

व्हाट्सअप चॅटबॉट  -7065514447",2025-05-03T10:55:17.273,2025,5,MAHARASHTRA,LATUR,RENAPUR,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CROP INSURANCE CLAIME?,SBI GENERAL INSURANCE-. 14447 व्हाट्सअप चॅटबॉट -7065514447,2025-05-03T10:55:17.273,MAHARASHTRA LATUR RENAPUR AGRICULTURE Others Others Government Schemes FARMER ASKED ABOUT CROP INSURANCE CLAIME? SBI GENERAL INSURANCE-. 14447 व्हाट्सअप चॅटबॉट -7065514447 2025-05-03T10:55:17.273,en,Doc,['MAHARASHTRA']
MAHARASHTRA,LATUR,RENAPUR,,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED ABOUT CROP INSURANCE CLIAME?
",तालुका पातळी  विमा प्रतिनिधी संपर्क -गणेश गुरमे 	9403915806,2025-05-03T10:58:09.5,2025,5,MAHARASHTRA,LATUR,RENAPUR,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CROP INSURANCE CLIAME?,तालुका पातळी विमा प्रतिनिधी संपर्क -गणेश गुरमे 9403915806,2025-05-03T10:58:09.5,MAHARASHTRA LATUR RENAPUR AGRICULTURE Others Others Government Schemes FARMER ASKED ABOUT CROP INSURANCE CLIAME? तालुका पातळी विमा प्रतिनिधी संपर्क -गणेश गुरमे 9403915806 2025-05-03T10:58:09.5,en,Doc,['MAHARASHTRA']
MAHARASHTRA,LATUR,DEONI,,AGRICULTURE,Others,Others,Government Schemes,farmer asked about contact number of fasal bima yojana ?,"कंपनीचे नाव SBI GENERAL Insurance
देवनी
सतीश जनार्दन सुर्यवंशी 7030881508
तुळशीराम गंगाधर लेंडाळे 7350736692
गजानन राजेश्वर पाटील 9096707064",2025-05-04T18:35:26.36,2025,5,MAHARASHTRA,LATUR,DEONI,AGRICULTURE,Others,Others,Government Schemes,farmer asked about contact number of fasal bima yojana ?,कंपनीचे नाव SBI GENERAL Insurance देवनी सतीश जनार्दन सुर्यवंशी 7030881508 तुळशीराम गंगाधर लेंडाळे 7350736692 गजानन राजेश्वर पाटील 9096707064,2025-05-04T18:35:26.36,MAHARASHTRA LATUR DEONI AGRICULTURE Others Others Government Schemes farmer asked about contact number of fasal bima yojana ? कंपनीचे नाव SBI GENERAL Insurance देवनी सतीश जनार्दन सुर्यवंशी 7030881508 तुळशीराम गंगाधर लेंडाळे 7350736692 गजानन राजेश्वर पाटील 9096707064 2025-05-04T18:35:26.36,en,Doc,['MAHARASHTRA']
MAHARASHTRA,LATUR,CHAKUR,,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Cultural Practices,FARMER  ASKED ABOUT SPRAY FOR CONTROL OF FUNGAL ATTACK ON CROP ?,"
M45 एम ४५ ( मॅन्कोझेब ७५% WP ) हे बुरशीनाशक ३० ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद..! 
",2025-05-05T17:51:16.313,2025,5,MAHARASHTRA,LATUR,CHAKUR,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Cultural Practices,FARMER ASKED ABOUT SPRAY FOR CONTROL OF FUNGAL ATTACK ON CROP ?,M45 एम ४५ ( मॅन्कोझेब ७५% WP ) हे बुरशीनाशक ३० ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद..!,2025-05-05T17:51:16.313,MAHARASHTRA LATUR CHAKUR AGRICULTURE Sugar and Starch Crops Sugarcane (Noble Cane) Cultural Practices FARMER ASKED ABOUT SPRAY FOR CONTROL OF FUNGAL ATTACK ON CROP ? M45 एम ४५ ( मॅन्कोझेब ७५% WP ) हे बुरशीनाशक ३० ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद..! 2025-05-05T17:51:16.313,en,Doc,['MAHARASHTRA']
MAHARASHTRA,LATUR,AUSA,,HORTICULTURE,Fruits,Lemon,Nutrient Management,asked about yellowing of leaves in lemon,आळवनी द्वारे  ब्ल्यु कॉपर 30 ग्रॅम + १३ ०० ४५ १०० ग्रॅम  /१५ लिटर पाण्यातून द्यावे ,2025-05-08T14:07:22.953,2025,5,MAHARASHTRA,LATUR,AUSA,HORTICULTURE,Fruits,Lemon,Nutrient Management,asked about yellowing of leaves in lemon,आळवनी द्वारे ब्ल्यु कॉपर 30 ग्रॅम + १३ ०० ४५ १०० ग्रॅम /१५ लिटर पाण्यातून द्यावे,2025-05-08T14:07:22.953,MAHARASHTRA LATUR AUSA HORTICULTURE Fruits Lemon Nutrient Management asked about yellowing of leaves in lemon आळवनी द्वारे ब्ल्यु कॉपर 30 ग्रॅम + १३ ०० ४५ १०० ग्रॅम /१५ लिटर पाण्यातून द्यावे 2025-05-08T14:07:22.953,en,Doc,['MAHARASHTRA']
MAHARASHTRA,LATUR,AUSA,,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CONTACT NUMBER OF AGRISTACK APP?,हेल्पलाइन क्रमांक 020 25 712712,2025-05-12T12:56:20,2025,5,MAHARASHTRA,LATUR,AUSA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT CONTACT NUMBER OF AGRISTACK APP?,हेल्पलाइन क्रमांक 020 25 712712,2025-05-12T12:56:20,MAHARASHTRA LATUR AUSA AGRICULTURE Others Others Government Schemes FARMER ASKED ABOUT CONTACT NUMBER OF AGRISTACK APP? हेल्पलाइन क्रमांक 020 25 712712 2025-05-12T12:56:20,en,Doc,['MAHARASHTRA']
MAHARASHTRA,AURANGABAD,SILLOD,,AGRICULTURE,Others,Others,Government Schemes,asked about information of goat farming ?,शेळी पालन च्या अधिक माहितीसाठी   प्रशिक्षणामध्ये माहिती विचारावे,2025-05-01T10:34:21.96,2025,5,MAHARASHTRA,AURANGABAD,SILLOD,AGRICULTURE,Others,Others,Government Schemes,asked about information of goat farming ?,शेळी पालन च्या अधिक माहितीसाठी प्रशिक्षणामध्ये माहिती विचारावे,2025-05-01T10:34:21.96,MAHARASHTRA AURANGABAD SILLOD AGRICULTURE Others Others Government Schemes asked about information of goat farming ? शेळी पालन च्या अधिक माहितीसाठी प्रशिक्षणामध्ये माहिती विचारावे 2025-05-01T10:34:21.96,en,Doc,['MAHARASHTRA']
MAHARASHTRA,AURANGABAD,KANAND,,HORTICULTURE,Vegetables,Cauliflower,	Plant Protection	,Farmer asked about control of  Blight on Cauliflower crop ?,फुलकोबी  पिकावरील रोग नियंत्रणासाठी = कार्बेन्डाझिम ५०% WP १५ ग्रॅम / १५ लिटर पाण्यामध्ये घेऊन फवारणी  करावी ...,2025-05-09T13:54:22.827,2025,5,MAHARASHTRA,AURANGABAD,KANAND,HORTICULTURE,Vegetables,Cauliflower,Plant Protection,Farmer asked about control of Blight on Cauliflower crop ?,फुलकोबी पिकावरील रोग नियंत्रणासाठी = कार्बेन्डाझिम ५०% WP १५ ग्रॅम / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी ...,2025-05-09T13:54:22.827,MAHARASHTRA AURANGABAD KANAND HORTICULTURE Vegetables Cauliflower Plant Protection Farmer asked about control of Blight on Cauliflower crop ? फुलकोबी पिकावरील रोग नियंत्रणासाठी = कार्बेन्डाझिम ५०% WP १५ ग्रॅम / १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी ... 2025-05-09T13:54:22.827,en,Doc,['MAHARASHTRA']
MAHARASHTRA,AURANGABAD,GANGAPUR,,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Crop Insurance,"Farmer asked about not receiving PMFBY 2024, Tur, Cotton, Mug crop insurance claim benefit ?","प्रधानमंत्री फसल बीमा योजना संदर्भात अधिक माहितीसाठी कृषिरक्षक पोर्टल 14 447 या नंबर वर संपर्क साधावा, धन्यवाद",2025-05-11T11:41:05.697,2025,5,MAHARASHTRA,AURANGABAD,GANGAPUR,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Crop Insurance,"Farmer asked about not receiving PMFBY 2024, Tur, Cotton, Mug crop insurance claim benefit ?","प्रधानमंत्री फसल बीमा योजना संदर्भात अधिक माहितीसाठी कृषिरक्षक पोर्टल 14 447 या नंबर वर संपर्क साधावा, धन्यवाद",2025-05-11T11:41:05.697,"MAHARASHTRA AURANGABAD GANGAPUR AGRICULTURE Pulses Pigeon pea (red gram/arhar/tur) Crop Insurance Farmer asked about not receiving PMFBY 2024, Tur, Cotton, Mug crop insurance claim benefit ? प्रधानमंत्री फसल बीमा योजना संदर्भात अधिक माहितीसाठी कृषिरक्षक पोर्टल 14 447 या नंबर वर संपर्क साधावा, धन्यवाद 2025-05-11T11:41:05.697",en,Doc,['MAHARASHTRA']
MAHARASHTRA,AURANGABAD,KANAND,,HORTICULTURE,Vegetables,Onion,Market Information,asked about Agricultural Produce Market Committee Lasalgaon Onion Market Price,14/05/2025 कृषी उत्पन्न बाजार समिती लासलगाव कांदा बाजार भाव 500 -1506 रुपये प्रति क्विंटल,2025-05-14T14:47:16.827,2025,5,MAHARASHTRA,AURANGABAD,KANAND,HORTICULTURE,Vegetables,Onion,Market Information,asked about Agricultural Produce Market Committee Lasalgaon Onion Market Price,14/05/2025 कृषी उत्पन्न बाजार समिती लासलगाव कांदा बाजार भाव 500 -1506 रुपये प्रति क्विंटल,2025-05-14T14:47:16.827,MAHARASHTRA AURANGABAD KANAND HORTICULTURE Vegetables Onion Market Information asked about Agricultural Produce Market Committee Lasalgaon Onion Market Price 14/05/2025 कृषी उत्पन्न बाजार समिती लासलगाव कांदा बाजार भाव 500 -1506 रुपये प्रति क्विंटल 2025-05-14T14:47:16.827,en,Doc,['MAHARASHTRA']
MAHARASHTRA,AURANGABAD,GANGAPUR,,HORTICULTURE,Condiments and Spices,Ginger,Cultural Practices,The farmer asked how many kilograms of seeds were needed per acre  ?,नमस्कार सर एकरी 400 ते 500 किलो कंद लागतात आले पिकाचे धन्यवाद,2025-05-18T13:27:47.617,2025,5,MAHARASHTRA,AURANGABAD,GANGAPUR,HORTICULTURE,Condiments and Spices,Ginger,Cultural Practices,The farmer asked how many kilograms of seeds were needed per acre ?,नमस्कार सर एकरी 400 ते 500 किलो कंद लागतात आले पिकाचे धन्यवाद,2025-05-18T13:27:47.617,MAHARASHTRA AURANGABAD GANGAPUR HORTICULTURE Condiments and Spices Ginger Cultural Practices The farmer asked how many kilograms of seeds were needed per acre ? नमस्कार सर एकरी 400 ते 500 किलो कंद लागतात आले पिकाचे धन्यवाद 2025-05-18T13:27:47.617,en,Doc,['MAHARASHTRA']
MAHARASHTRA,AURANGABAD,GANGAPUR,,AGRICULTURE,Beekeeping,Beekeeping,Government Schemes,farmer asked about pm kisan samman nidhi yojana next installment ?,पी एम किसान सन्माननिधी योजनेचा पुढील हप्ता जून किंवा जुलै महिन्यामध्ये येण्याची शक्यता आहे धन्यवाद,2025-05-22T17:06:35.183,2025,5,MAHARASHTRA,AURANGABAD,GANGAPUR,AGRICULTURE,Beekeeping,Beekeeping,Government Schemes,farmer asked about pm kisan samman nidhi yojana next installment ?,पी एम किसान सन्माननिधी योजनेचा पुढील हप्ता जून किंवा जुलै महिन्यामध्ये येण्याची शक्यता आहे धन्यवाद,2025-05-22T17:06:35.183,MAHARASHTRA AURANGABAD GANGAPUR AGRICULTURE Beekeeping Beekeeping Government Schemes farmer asked about pm kisan samman nidhi yojana next installment ? पी एम किसान सन्माननिधी योजनेचा पुढील हप्ता जून किंवा जुलै महिन्यामध्ये येण्याची शक्यता आहे धन्यवाद 2025-05-22T17:06:35.183,en,Doc,['MAHARASHTRA']
MAHARASHTRA,JALNA,GHANSAWANGI,,AGRICULTURE,Oilseeds,Soybean (bhat),Varieties,Farmers asked about early soybean varieties?,"नमस्कार सोयाबीन पिकाचे लवकर येणारा वाण : परभणी सोना (MAUS-47), ग्रीन गोल्ड ३३४४, विक्रांत, जे एस ९५-६०  धन्यवाद ",2025-05-12T12:28:48.767,2025,5,MAHARASHTRA,JALNA,GHANSAWANGI,AGRICULTURE,Oilseeds,Soybean (bhat),Varieties,Farmers asked about early soybean varieties?,"नमस्कार सोयाबीन पिकाचे लवकर येणारा वाण : परभणी सोना (MAUS-47), ग्रीन गोल्ड ३३४४, विक्रांत, जे एस ९५-६० धन्यवाद",2025-05-12T12:28:48.767,"MAHARASHTRA JALNA GHANSAWANGI AGRICULTURE Oilseeds Soybean (bhat) Varieties Farmers asked about early soybean varieties? नमस्कार सोयाबीन पिकाचे लवकर येणारा वाण : परभणी सोना (MAUS-47), ग्रीन गोल्ड ३३४४, विक्रांत, जे एस ९५-६० धन्यवाद 2025-05-12T12:28:48.767",en,Doc,['MAHARASHTRA']
MAHARASHTRA,GONDIYA,AMGAON,,AGRICULTURE,Others,Others,Government Schemes,farmer asked about Toll Free no. of PM Kisan Yojana ,नमस्कार पीएम-किसान हेल्पलाइन क्रमांक : 155261 / 011-24300606 या नंबर वरती संपर्क करावा. धन्यवाद..! ,2025-05-17T08:44:58.45,2025,5,MAHARASHTRA,GONDIYA,AMGAON,AGRICULTURE,Others,Others,Government Schemes,farmer asked about Toll Free no. of PM Kisan Yojana,नमस्कार पीएम-किसान हेल्पलाइन क्रमांक : 155261 / 011-24300606 या नंबर वरती संपर्क करावा. धन्यवाद..!,2025-05-17T08:44:58.45,MAHARASHTRA GONDIYA AMGAON AGRICULTURE Others Others Government Schemes farmer asked about Toll Free no. of PM Kisan Yojana नमस्कार पीएम-किसान हेल्पलाइन क्रमांक : 155261 / 011-24300606 या नंबर वरती संपर्क करावा. धन्यवाद..! 2025-05-17T08:44:58.45,en,Doc,['MAHARASHTRA']
MAHARASHTRA,NANDURBAR,NANDURBAR,,AGRICULTURE,Others,Others,Cultural Practices,FARMER ASKED ABOUT INFORMATION OF ASHWAGANDHA ?,"अश्वगंधा पिकाच्या जाती - असगंध - २० ,१३४ , १०० ,राजविजय
",2025-05-16T16:50:59.46,2025,5,MAHARASHTRA,NANDURBAR,NANDURBAR,AGRICULTURE,Others,Others,Cultural Practices,FARMER ASKED ABOUT INFORMATION OF ASHWAGANDHA ?,"अश्वगंधा पिकाच्या जाती - असगंध - २० ,१३४ , १०० ,राजविजय",2025-05-16T16:50:59.46,"MAHARASHTRA NANDURBAR NANDURBAR AGRICULTURE Others Others Cultural Practices FARMER ASKED ABOUT INFORMATION OF ASHWAGANDHA ? अश्वगंधा पिकाच्या जाती - असगंध - २० ,१३४ , १०० ,राजविजय 2025-05-16T16:50:59.46",en,Doc,['MAHARASHTRA']
MAHARASHTRA,PALGHAR,PALGHAR,,AGRICULTURE,Others,Others,Government Schemes,Asked for Maharashtra Agri Department Toll Free Number?,महाराष्ट्र शासन कृषी विभाग टोल फ्री क्रमांक 1800 233 4000  या क्रमांकावर संपर्क साधावा.,2025-05-11T20:54:12.073,2025,5,MAHARASHTRA,PALGHAR,PALGHAR,AGRICULTURE,Others,Others,Government Schemes,Asked for Maharashtra Agri Department Toll Free Number?,महाराष्ट्र शासन कृषी विभाग टोल फ्री क्रमांक 1800 233 4000 या क्रमांकावर संपर्क साधावा.,2025-05-11T20:54:12.073,MAHARASHTRA PALGHAR PALGHAR AGRICULTURE Others Others Government Schemes Asked for Maharashtra Agri Department Toll Free Number? महाराष्ट्र शासन कृषी विभाग टोल फ्री क्रमांक 1800 233 4000 या क्रमांकावर संपर्क साधावा. 2025-05-11T20:54:12.073,en,Doc,['MAHARASHTRA']
